epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4585.22,1.3414,0.86922,1.31128,0.92037,0.829,0.91068,0.57711,1.32497,0.71177,1.33237,0.00107205,0.00107205,0.00107205
43,4692.61,1.35293,0.85768,1.3192,0.89842,0.82929,0.90741,0.57268,1.31183,0.71762,1.32729,0.00104705,0.00104705,0.00104705
44,4800.09,1.34406,0.84852,1.31752,0.91079,0.82978,0.91114,0.58415,1.30006,0.69983,1.31291,0.00102184,0.00102184,0.00102184
45,4909.45,1.3319,0.85109,1.30698,0.91056,0.8317,0.91193,0.5786,1.3197,0.70578,1.329,0.000996456,0.000996456,0.000996456
46,5019.09,1.33269,0.84154,1.30034,0.92234,0.82923,0.91271,0.584,1.29814,0.69406,1.31274,0.000970919,0.000970919,0.000970919
47,5128.65,1.32906,0.84845,1.29877,0.91478,0.83467,0.91392,0.58572,1.30313,0.69414,1.31378,0.000945256,0.000945256,0.000945256
48,5237.87,1.32545,0.83283,1.30472,0.91773,0.84039,0.91708,0.5882,1.29862,0.68769,1.3154,0.00091949,0.00091949,0.00091949
49,5346.8,1.32787,0.83256,1.30066,0.91751,0.83438,0.91482,0.58704,1.30174,0.68728,1.31057,0.000893648,0.000893648,0.000893648
50,5456,1.32901,0.82871,1.3081,0.91358,0.84499,0.92027,0.58232,1.30558,0.68378,1.32279,0.000867754,0.000867754,0.000867754
51,5565.02,1.31279,0.81052,1.29553,0.9198,0.83326,0.91618,0.59147,1.29216,0.68086,1.30906,0.000841835,0.000841835,0.000841835
52,5672.25,1.31671,0.81902,1.289,0.91815,0.83841,0.91755,0.58864,1.30564,0.67456,1.31342,0.000815916,0.000815916,0.000815916
53,5779.12,1.3161,0.80857,1.29045,0.92398,0.83267,0.91678,0.58558,1.29986,0.67001,1.30857,0.000790022,0.000790022,0.000790022
54,5888.31,1.31546,0.81011,1.28969,0.90736,0.85302,0.91965,0.58945,1.28966,0.66425,1.29947,0.00076418,0.00076418,0.00076418
55,5997.38,1.30991,0.80235,1.28491,0.91984,0.84326,0.92166,0.58952,1.28631,0.66083,1.29639,0.000738414,0.000738414,0.000738414
56,6106.58,1.29847,0.78617,1.27825,0.91293,0.84072,0.92105,0.59222,1.30836,0.66513,1.30955,0.000712751,0.000712751,0.000712751
57,6215.71,1.3098,0.80163,1.28698,0.92142,0.84324,0.92029,0.59411,1.27907,0.66302,1.29674,0.000687214,0.000687214,0.000687214
58,6324.85,1.29883,0.78834,1.27542,0.92468,0.8366,0.92027,0.59625,1.2839,0.65632,1.29454,0.000661831,0.000661831,0.000661831
59,6434.17,1.29573,0.78215,1.27456,0.93147,0.83744,0.92037,0.59701,1.28175,0.65189,1.29182,0.000636625,0.000636625,0.000636625
60,6543.53,1.30022,0.79287,1.27853,0.92189,0.8408,0.9249,0.59567,1.28395,0.65173,1.29571,0.000611621,0.000611621,0.000611621
61,6652.14,1.29276,0.77876,1.2727,0.92953,0.83613,0.92263,0.59956,1.28613,0.65247,1.29714,0.000586845,0.000586845,0.000586845
62,6761.02,1.28851,0.7775,1.26803,0.92432,0.83562,0.92143,0.59911,1.28329,0.6535,1.29814,0.00056232,0.00056232,0.00056232
63,6870.38,1.2962,0.77233,1.27011,0.91562,0.84927,0.92378,0.59664,1.28582,0.65002,1.29769,0.000538072,0.000538072,0.000538072
64,6980.18,1.29605,0.77763,1.27015,0.92441,0.84447,0.92321,0.59895,1.27902,0.65577,1.2899,0.000514122,0.000514122,0.000514122
65,7090.99,1.28549,0.76498,1.26698,0.9239,0.84353,0.92199,0.59997,1.2791,0.64128,1.28795,0.000490497,0.000490497,0.000490497
66,7201.04,1.28909,0.76913,1.26299,0.92184,0.84963,0.92358,0.6001,1.2788,0.64162,1.28812,0.000467218,0.000467218,0.000467218
67,7311.1,1.27428,0.75483,1.25814,0.92265,0.8492,0.92436,0.59824,1.28343,0.64019,1.29155,0.000444309,0.000444309,0.000444309
68,7420.42,1.27229,0.76102,1.25417,0.90964,0.85793,0.92327,0.5967,1.27897,0.64395,1.28714,0.000421792,0.000421792,0.000421792
69,7529.69,1.2673,0.75013,1.25011,0.92046,0.8546,0.92635,0.60049,1.27779,0.6348,1.28876,0.000399689,0.000399689,0.000399689
70,7638.92,1.27728,0.75039,1.261,0.92795,0.84736,0.92617,0.603,1.27351,0.63427,1.2844,0.000378023,0.000378023,0.000378023
71,7747.45,1.26182,0.73918,1.25219,0.92489,0.84947,0.92436,0.60178,1.27309,0.63398,1.28314,0.000356815,0.000356815,0.000356815
72,7856.52,1.27818,0.7497,1.25784,0.92903,0.84693,0.92637,0.60279,1.27254,0.633,1.2828,0.000336086,0.000336086,0.000336086
73,7965.57,1.26802,0.74062,1.25053,0.92328,0.84783,0.9261,0.60238,1.27562,0.63088,1.28567,0.000315855,0.000315855,0.000315855
74,8074.64,1.25933,0.73937,1.24444,0.92223,0.85641,0.92621,0.6013,1.27247,0.62942,1.28715,0.000296144,0.000296144,0.000296144
75,8183.96,1.25112,0.73031,1.24257,0.91606,0.85929,0.92454,0.60283,1.27159,0.62899,1.28357,0.000276971,0.000276971,0.000276971
76,8292.84,1.25868,0.73852,1.24527,0.91548,0.85877,0.92554,0.60253,1.27873,0.63081,1.28693,0.000258355,0.000258355,0.000258355
77,8401.5,1.25853,0.73196,1.24425,0.91767,0.85515,0.92581,0.60339,1.26756,0.62933,1.28203,0.000240316,0.000240316,0.000240316
78,8511,1.25603,0.72482,1.24269,0.92548,0.84991,0.92752,0.60521,1.27026,0.62384,1.28084,0.00022287,0.00022287,0.00022287
79,8620.24,1.24958,0.72501,1.24488,0.92761,0.84795,0.92717,0.60383,1.27041,0.62498,1.28193,0.000206034,0.000206034,0.000206034
