epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7105.71,1.29547,0.75104,1.22933,0.91141,0.84141,0.91313,0.5775,1.30396,0.65674,1.26999,0.00107205,0.00107205,0.00107205
43,7270.74,1.31399,0.75467,1.23508,0.92064,0.83441,0.91743,0.5805,1.28791,0.64514,1.25486,0.00104705,0.00104705,0.00104705
44,7440.41,1.30084,0.74301,1.23713,0.92778,0.83744,0.91515,0.58244,1.29284,0.64361,1.25774,0.00102184,0.00102184,0.00102184
45,7609.43,1.29311,0.74283,1.22384,0.92133,0.82236,0.91655,0.58027,1.30095,0.64398,1.26142,0.000996456,0.000996456,0.000996456
46,7777.28,1.29068,0.73554,1.22092,0.91682,0.83762,0.9152,0.58079,1.28366,0.63467,1.24927,0.000970919,0.000970919,0.000970919
47,7941.62,1.28738,0.7367,1.21741,0.91393,0.83863,0.91435,0.58732,1.28313,0.63911,1.24974,0.000945256,0.000945256,0.000945256
48,8103.06,1.29192,0.73004,1.2273,0.92789,0.83597,0.9148,0.58673,1.27697,0.62924,1.24963,0.00091949,0.00091949,0.00091949
49,8266.44,1.28519,0.72834,1.21763,0.92048,0.84282,0.91537,0.58715,1.27418,0.6307,1.24851,0.000893648,0.000893648,0.000893648
50,8426.61,1.2877,0.72774,1.23114,0.92219,0.84057,0.92244,0.59123,1.27339,0.62313,1.24245,0.000867754,0.000867754,0.000867754
51,8588.43,1.26784,0.70851,1.21199,0.902,0.85428,0.9194,0.59474,1.26176,0.62006,1.2403,0.000841835,0.000841835,0.000841835
52,8749.02,1.26863,0.70869,1.20502,0.91701,0.84611,0.92145,0.59017,1.278,0.62048,1.24216,0.000815916,0.000815916,0.000815916
53,8913.27,1.26877,0.70483,1.21077,0.919,0.84608,0.91983,0.58905,1.26581,0.61289,1.24011,0.000790022,0.000790022,0.000790022
54,9076.35,1.27142,0.71065,1.20864,0.91416,0.85239,0.92185,0.59144,1.26445,0.6109,1.23856,0.00076418,0.00076418,0.00076418
55,9236.68,1.26272,0.7003,1.20761,0.91993,0.8468,0.92131,0.59462,1.25827,0.60808,1.23548,0.000738414,0.000738414,0.000738414
