epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8824,1.50381,1.71238,1.18013,0.80058,0.70712,0.7872,0.45037,1.48182,1.21853,1.2099,0.000553444,0.000553444,0.000553444
2,164.322,1.44251,1.13193,1.15791,0.83505,0.74457,0.81804,0.47564,1.46174,1.01258,1.21506,0.00110884,0.00110884,0.00110884
3,243.379,1.45513,1.06581,1.17076,0.85642,0.73209,0.81997,0.48766,1.42823,0.92709,1.20222,0.00166315,0.00166315,0.00166315
4,333.893,1.40935,0.97041,1.15735,0.87635,0.76505,0.86325,0.49936,1.43203,0.87461,1.1956,0.00166334,0.00166334,0.00166334
5,425.379,1.40525,0.93745,1.15364,0.88331,0.79466,0.876,0.52722,1.37185,0.81656,1.16378,0.00166049,0.00166049,0.00166049
6,505.191,1.38013,0.89213,1.14472,0.8895,0.81165,0.88402,0.54354,1.36817,0.75048,1.16448,0.00165684,0.00165684,0.00165684
