epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8108.39,1.34205,0.86948,1.30799,0.9178,0.81768,0.90156,0.57285,1.33598,0.72916,1.33367,0.00107205,0.00107205,0.00107205
43,8292.1,1.35551,0.86617,1.31433,0.90825,0.81782,0.90305,0.57372,1.31472,0.7175,1.32252,0.00104705,0.00104705,0.00104705
44,8563.06,1.34745,0.86051,1.31694,0.91051,0.83183,0.90796,0.58258,1.30388,0.70232,1.31366,0.00102184,0.00102184,0.00102184
45,8893.75,1.33556,0.85829,1.30484,0.91403,0.82545,0.91032,0.58117,1.3148,0.70836,1.31963,0.000996456,0.000996456,0.000996456
46,9076.39,1.33153,0.84818,1.29734,0.91742,0.83255,0.91177,0.58133,1.2967,0.69776,1.31284,0.000970919,0.000970919,0.000970919
47,9261.07,1.32783,0.85081,1.29535,0.90757,0.83192,0.9114,0.58069,1.31096,0.69363,1.31047,0.000945256,0.000945256,0.000945256
48,9447.44,1.3301,0.83431,1.30246,0.89995,0.84224,0.91042,0.58164,1.29863,0.69764,1.30448,0.00091949,0.00091949,0.00091949
49,9634.01,1.32764,0.83454,1.29392,0.92169,0.82761,0.90843,0.58349,1.30745,0.68976,1.30482,0.000893648,0.000893648,0.000893648
50,9821.03,1.33129,0.83187,1.30137,0.91599,0.84064,0.91327,0.58211,1.30823,0.69174,1.31711,0.000867754,0.000867754,0.000867754
51,10007.3,1.31308,0.81496,1.28782,0.91631,0.83721,0.91094,0.58687,1.29678,0.68366,1.30251,0.000841835,0.000841835,0.000841835
52,10193.7,1.31669,0.82216,1.28295,0.9224,0.83069,0.91524,0.58176,1.31406,0.6848,1.31193,0.000815916,0.000815916,0.000815916
53,10380.1,1.31551,0.81474,1.28369,0.91445,0.84111,0.91599,0.5873,1.29505,0.6825,1.2967,0.000790022,0.000790022,0.000790022
54,10671.2,1.32037,0.81595,1.28485,0.9231,0.83563,0.91657,0.58661,1.29388,0.67355,1.29683,0.00076418,0.00076418,0.00076418
55,10896.1,1.3104,0.81362,1.28172,0.90621,0.84467,0.91319,0.58659,1.2908,0.67634,1.29999,0.000738414,0.000738414,0.000738414
56,11084.5,1.29945,0.79476,1.27645,0.92053,0.82847,0.91276,0.58331,1.31227,0.68058,1.30684,0.000712751,0.000712751,0.000712751
57,11282.2,1.3106,0.80699,1.2834,0.91257,0.83893,0.91315,0.58474,1.28492,0.67443,1.29336,0.000687214,0.000687214,0.000687214
58,11535.2,1.29955,0.7958,1.26845,0.91599,0.83767,0.91428,0.59241,1.28132,0.66905,1.28861,0.000661831,0.000661831,0.000661831
59,11873.1,1.29611,0.78282,1.26912,0.91833,0.83982,0.91748,0.59329,1.28343,0.66393,1.28821,0.000636625,0.000636625,0.000636625
60,12148.9,1.29986,0.80325,1.27271,0.91887,0.84225,0.9182,0.58868,1.28484,0.66558,1.29236,0.000611621,0.000611621,0.000611621
61,12334.7,1.29225,0.78379,1.2669,0.91925,0.84192,0.91704,0.5959,1.28751,0.65888,1.29184,0.000586845,0.000586845,0.000586845
62,12577.8,1.29198,0.78409,1.26381,0.92374,0.83807,0.91651,0.59438,1.28419,0.65796,1.29037,0.00056232,0.00056232,0.00056232
63,12929.2,1.29608,0.77752,1.26342,0.92952,0.83647,0.91774,0.59166,1.29024,0.66148,1.29442,0.000538072,0.000538072,0.000538072
64,13328.1,1.2965,0.78248,1.26534,0.91491,0.84139,0.91758,0.58834,1.28791,0.66719,1.29167,0.000514122,0.000514122,0.000514122
65,13670.1,1.28604,0.77132,1.26096,0.92323,0.8427,0.91743,0.59547,1.28135,0.65144,1.28495,0.000490497,0.000490497,0.000490497
66,14022.5,1.28448,0.77437,1.25794,0.93123,0.83564,0.9182,0.59383,1.28122,0.64625,1.28918,0.000467218,0.000467218,0.000467218
67,14372.4,1.27486,0.75949,1.25542,0.91543,0.84587,0.91806,0.58671,1.29314,0.65222,1.29449,0.000444309,0.000444309,0.000444309
68,14660.5,1.27269,0.75751,1.2491,0.92233,0.83921,0.91837,0.59233,1.28198,0.65376,1.28431,0.000421792,0.000421792,0.000421792
69,14985.9,1.27193,0.75786,1.24833,0.93451,0.83672,0.91922,0.59668,1.28149,0.64736,1.28861,0.000399689,0.000399689,0.000399689
70,15186.7,1.27838,0.75805,1.2566,0.9324,0.83426,0.91986,0.59743,1.27643,0.64507,1.28184,0.000378023,0.000378023,0.000378023
71,15374.5,1.2627,0.74744,1.24882,0.92168,0.8407,0.91895,0.59835,1.27323,0.64146,1.2769,0.000356815,0.000356815,0.000356815
72,15563.8,1.28286,0.75966,1.25686,0.91493,0.84955,0.9203,0.59691,1.27854,0.64336,1.28223,0.000336086,0.000336086,0.000336086
73,15752.4,1.27086,0.75064,1.24745,0.92594,0.84172,0.91981,0.59805,1.27439,0.63744,1.2769,0.000315855,0.000315855,0.000315855
74,15943.8,1.26129,0.74626,1.23995,0.931,0.84211,0.92218,0.59832,1.27841,0.63604,1.28062,0.000296144,0.000296144,0.000296144
75,16131.7,1.25213,0.73527,1.23792,0.92494,0.84962,0.92054,0.59906,1.27469,0.63783,1.27948,0.000276971,0.000276971,0.000276971
76,16319.7,1.26336,0.74511,1.24417,0.91772,0.84762,0.91996,0.59661,1.28237,0.64098,1.28369,0.000258355,0.000258355,0.000258355
77,16507.1,1.26264,0.73799,1.24206,0.92337,0.85365,0.9217,0.59975,1.27007,0.63274,1.27897,0.000240316,0.000240316,0.000240316
78,16693.7,1.25924,0.73153,1.23979,0.93036,0.84395,0.92267,0.60015,1.27774,0.63469,1.27937,0.00022287,0.00022287,0.00022287
79,16879.3,1.25236,0.73013,1.24431,0.93311,0.8396,0.92298,0.60017,1.27639,0.63782,1.28103,0.000206034,0.000206034,0.000206034
80,17064.4,1.26049,0.73637,1.24171,0.93067,0.84186,0.92226,0.60177,1.27154,0.63352,1.27539,0.000189827,0.000189827,0.000189827
81,17255.4,1.25689,0.73518,1.24442,0.93126,0.84444,0.92273,0.60078,1.2729,0.63353,1.27714,0.000174262,0.000174262,0.000174262
82,17446.2,1.24982,0.72779,1.23528,0.91994,0.85109,0.92341,0.60132,1.271,0.62975,1.2753,0.000159357,0.000159357,0.000159357
83,17634.5,1.24052,0.71984,1.23604,0.9252,0.84825,0.92407,0.60298,1.27149,0.62871,1.27651,0.000145125,0.000145125,0.000145125
84,17821.6,1.24907,0.72698,1.23469,0.92686,0.84607,0.9239,0.60314,1.27006,0.62707,1.27356,0.000131581,0.000131581,0.000131581
85,18007.6,1.25831,0.73489,1.24106,0.92393,0.8482,0.92371,0.60244,1.27087,0.62736,1.27641,0.000118737,0.000118737,0.000118737
86,18195.9,1.24166,0.71561,1.23116,0.93162,0.84641,0.92452,0.6033,1.26888,0.62418,1.27367,0.000106608,0.000106608,0.000106608
87,18382.8,1.24333,0.72295,1.23325,0.92719,0.8452,0.92441,0.60347,1.2681,0.6252,1.27346,9.52034e-05,9.52034e-05,9.52034e-05
88,18570.9,1.24153,0.71773,1.23291,0.92735,0.84639,0.92412,0.60489,1.26832,0.62532,1.27238,8.4536e-05,8.4536e-05,8.4536e-05
89,18757.9,1.25009,0.71712,1.23729,0.93325,0.84364,0.92412,0.60453,1.26939,0.62568,1.27389,7.4616e-05,7.4616e-05,7.4616e-05
